timestamp,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
4019.861,7.6088,-0.2514,5.4995,-1.5725,-0.687,-0.5802,10.2759,-0.3208,0.2227,-3.3206,1.1145,0.4885
4109.873,7.5633,-0.3017,5.5402,-1.374,-0.3817,-0.4198,10.3238,-0.2873,0.1341,-3.2519,1.2061,0.3969
4204.981,7.5346,-0.2562,5.6144,-1.3282,-0.7328,-0.4885,10.2783,-0.3663,0.249,-3.229,1.0611,0.5191
4288.597,7.5729,-0.3783,5.4492,-1.3053,-0.6336,-0.626,10.2999,-0.3089,0.2203,-3.5038,1.2214,0.542
4377.373,7.6136,-0.2514,5.5952,-1.4809,-0.5725,-0.4809,10.2592,-0.261,0.3017,-3.2595,1.1756,0.1908
4468.618,7.58,-0.3879,5.4971,-1.3511,-0.8092,-0.6947,10.3525,-0.3879,0.2394,-3.374,1.3359,0.5725
4558.206,7.6902,-0.2945,5.5857,-1.4733,-0.5496,-0.542,10.3118,-0.4094,0.1245,-3.2748,1.1832,0.4275
4647.529,7.5633,-0.3089,5.4588,-1.4504,-0.8397,-0.7023,10.3549,-0.3472,0.2179,-3.2977,1.1908,0.3817
4769.843,7.5944,-0.3041,5.5138,-1.4046,-0.4275,-0.5496,10.3645,-0.3184,0.2801,-3.3359,1.0153,0.4809
4858.417,7.6064,-0.3136,5.5282,-1.542,-0.7786,-0.4809,10.307,-0.3352,0.2346,-3.2824,1.1985,0.2366
4947.87,7.6447,-0.328,5.6024,-1.4046,-0.6565,-0.8321,10.2975,-0.3472,0.2658,-3.0763,0.9847,0.4656
5038.75,7.5824,-0.3376,5.6192,-1.5344,-0.6336,-0.6412,10.3214,-0.2969,0.1772,-3.4046,1.0687,0.5267
5127.883,7.6303,-0.2825,5.5881,-1.4962,-0.3206,-0.687,10.2999,-0.2705,0.2203,-3.3511,1.084,0.2977
5219.938,7.6064,-0.2538,5.5713,-1.4733,-0.5038,-0.3664,10.3142,-0.3041,0.091,-3.1908,1.1985,0.3664
5308.65,7.6662,-0.2586,5.5402,-1.458,-0.5573,-0.6489,10.2759,-0.3807,0.2586,-3.4198,1.0382,0.3969
5399.88,7.6423,-0.3041,5.6096,-1.4809,-0.6336,-0.4809,10.3094,-0.328,0.261,-3.4809,0.855,0.5496
5490.085,7.616,-0.3041,5.5976,-1.2214,-0.6412,-0.6947,10.3789,-0.3448,0.1915,-3.2137,1.3969,0.542
5578.121,7.5776,-0.3017,5.4875,-1.4351,-0.5115,-0.6107,10.3621,-0.2969,0.2155,-3.2824,1.2901,0.3053
5668.194,7.616,-0.3041,5.4779,-1.4504,-0.687,-0.5802,10.2927,-0.3304,0.261,-3.5115,1.2901,0.2824
5757.931,7.6064,-0.3089,5.5976,-1.374,-0.3969,-0.5344,10.2903,-0.3519,0.2682,-3.2061,1.0229,0.313
5847.705,7.6327,-0.3304,5.5282,-1.3588,-0.4885,-0.4733,10.2735,-0.4286,0.2873,-3.5038,1.084,0.2748
5938.697,7.6782,-0.2753,5.5617,-1.4504,-0.5496,-0.626,10.3597,-0.3041,0.1724,-3.3206,1.2366,0.5649
6059.404,7.5753,-0.2849,5.5067,-1.3053,-0.6947,-0.5802,10.2807,-0.3376,0.2011,-3.3435,1.2672,0.4198
6147.866,7.6303,-0.158,5.5593,-1.4122,-0.374,-0.4198,10.3022,-0.3328,0.3208,-3.3435,1.1221,0.2824
6237.995,7.58,-0.3615,5.5952,-1.3511,-0.6031,-0.374,10.3262,-0.2945,0.1915,-3.2824,1.0611,0.458
6328.169,7.6806,-0.2586,5.521,-1.3664,-0.6183,-0.5267,10.2927,-0.3519,0.1867,-3.3282,0.9466,0.3511
6419.986,7.6686,-0.3472,5.5138,-1.2595,-0.5649,-0.5496,10.2879,-0.3256,0.1628,-3.3588,1.1298,0.3206
6508.25,7.6255,-0.2155,5.5881,-1.3817,-0.5267,-0.7023,10.3142,-0.34,0.1963,-3.1527,1.2443,0.4046
6598.093,7.5848,-0.3735,5.521,-1.4885,-0.6565,-0.5191,10.2711,-0.3567,0.1556,-3.1985,1.3664,0.4275
6690.106,7.6519,-0.3376,5.4923,-1.3664,-0.7099,-0.7023,10.2544,-0.3543,0.2131,-3.2519,1.229,0.4122
6808.646,7.6686,-0.2442,5.5857,-1.4809,-0.6031,-0.3664,10.3693,-0.316,0.0599,-3.5496,0.9924,0.4504
6867.587,7.6399,-0.316,5.521,-1.2672,-0.7023,-0.542,10.3262,-0.3089,0.2849,-3.0382,1.1908,0.2061
6957.681,7.5729,-0.2682,5.5833,-1.3588,-0.5725,-0.4962,10.2975,-0.3304,0.2298,-3.2595,1.1603,0.4656
7047.597,7.6327,-0.3184,5.5091,-1.4198,-0.626,-0.5191,10.2615,-0.3208,0.1628,-3.2824,1.1374,0.6031
7138.378,7.671,-0.1939,5.5498,-1.2901,-0.5496,-0.4046,10.3046,-0.3879,0.1604,-3.2824,1.0763,0.458
7228.492,7.5776,-0.3136,5.4229,-1.4885,-0.6718,-0.7634,10.2783,-0.316,0.2035,-3.2977,1.2901,0.3511
7347.406,7.6902,-0.2873,5.5498,-1.3511,-0.6183,-0.7099,10.307,-0.3496,0.2203,-3.2519,1.0382,0.4122
7468.694,7.616,-0.2825,5.5162,-1.4656,-0.4962,-0.5802,10.319,-0.3711,0.1484,-3.2901,1.1298,0.542
7528.024,7.6806,-0.2777,5.612,-1.3817,-0.6718,-0.5649,10.2735,-0.3855,0.1891,-3.3893,0.9008,0.2977
7618.931,7.58,-0.3687,5.4923,-1.3817,-0.6947,-0.5802,10.2903,-0.3184,0.2059,-3.145,1.2061,0.3817
7708.416,7.6543,-0.3232,5.5569,-1.1985,-0.5725,-0.4427,10.3094,-0.3208,0.1628,-3.2824,1.1221,0.313
7798.628,7.5872,-0.2155,5.5522,-1.4275,-0.6489,-0.8397,10.3094,-0.3639,0.1676,-3.3664,1.2901,0.4504
7888.359,7.616,-0.3496,5.5474,-1.4809,-0.5267,-0.6718,10.319,-0.2705,0.2586,-3.084,1.1221,0.3893
7979.974,7.5776,-0.3089,5.5258,-1.2519,-0.5038,-0.4809,10.3669,-0.3663,0.1484,-3.145,1.0229,0.4046
8070.039,7.6231,-0.3352,5.4995,-1.3511,-0.6794,-0.6183,10.3118,-0.3974,0.1652,-3.1679,0.9008,0.3817
8158.656,7.5776,-0.1987,5.533,-1.5496,-0.4504,-0.5878,10.3238,-0.3089,0.2251,-3.3206,1.2061,0.3817
8248.812,7.6184,-0.3687,5.4755,-1.3969,-0.5038,-0.4885,10.3094,-0.3759,0.237,-3.2137,1.2748,0.4809
8338.265,7.6902,-0.2059,5.5186,-1.3969,-0.2672,-0.7023,10.3525,-0.3112,0.1317,-3.1298,1.0611,0.5267
