timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
2006.984,0.5264,9.4373,3.2542,0.35,-1.33,0.91,0.7657,-9.5378,-2.0195,1.4,-1.61,-0.98,-0.0168,-0.1197,8.5401,-1.2901,-0.5267,-0.5802,-9.2392,-0.1173,-0.4166,-3.2901,1.2748,0.6107
2096.307,0.4977,9.4325,3.2351,0.35,-1.33,1.19,0.7753,-9.5186,-2.01,0.98,-1.75,-1.05,0.0718,-0.0886,8.6119,-1.4885,-0.5802,-0.458,-9.2847,-0.0934,-0.4453,-3.1679,1.1221,0.3053
2156.673,0.5216,9.4229,3.216,0.21,-1.12,0.91,0.7657,-9.533,-1.9669,0.77,-1.68,-1.12,0.0048,-0.1101,8.5688,-1.4504,-0.7634,-0.4962,-9.3087,-0.103,-0.4621,-3.2901,1.0916,0.4427
2248.755,0.5264,9.4134,3.216,0.35,-1.19,0.77,0.7944,-9.5139,-2.0052,1.47,-1.75,-1.05,-0.0215,-0.1556,8.5832,-1.4962,-0.5038,-0.5649,-9.2416,-0.1221,-0.4501,-3.3359,1.1832,0.542
2337.945,0.469,9.4612,3.2686,0.49,-1.26,0.98,0.7466,-9.5378,-1.9813,1.05,-1.54,-1.05,0.0503,-0.1604,8.5904,-1.3893,-0.4656,-0.7252,-9.2488,-0.1293,-0.4046,-3.2748,1.2672,0.3893
2398.45,0.4642,9.4612,3.2399,0.42,-1.4,1.12,0.7609,-9.5186,-2.0195,1.82,-1.47,-0.98,0.0239,-0.1293,8.5281,-1.3435,-0.3664,-0.3969,-9.2775,-0.1077,-0.3711,-3.3053,1.1985,0.5267
2488.164,0.4786,9.4277,3.2638,-0.21,-1.19,1.12,0.7848,-9.5474,-1.9956,1.61,-1.75,-0.98,0.0215,-0.1221,8.5688,-1.3435,-0.5115,-0.5115,-9.2823,-0.1604,-0.3304,-3.1069,1.1908,0.1908
2549.946,0.4977,9.4134,3.2447,0.07,-1.19,0.91,0.7705,-9.5043,-1.9956,1.26,-1.75,-1.12,0.0431,-0.1173,8.4946,-1.1832,-0.4656,-0.7634,-9.2392,-0.1604,-0.4166,-3.3664,1.145,0.4122
2637.866,0.5408,9.3942,3.2734,0.77,-1.4,1.26,0.7848,-9.5139,-1.9813,1.54,-1.68,-0.98,0.0575,-0.1149,8.5162,-1.2214,-0.7328,-0.6641,-9.2416,-0.1389,-0.3879,-3.2443,1.2519,0.5038
2727.777,0.6269,9.3703,3.2255,0.56,-1.19,1.61,0.7896,-9.5139,-2.1775,1.89,-1.54,-0.91,-0.0192,-0.1221,8.5449,-1.1985,-0.4275,-0.5191,-9.2584,-0.0646,-0.3352,-3.1908,1.1756,0.3282
2788.633,0.4642,9.3894,3.1777,5.39,-2.24,2.17,0.7466,-9.5426,-2.1009,1.33,-1.68,-1.19,-0.0263,-0.1197,8.5162,-1.2748,-0.5649,-0.3664,-9.2177,-0.0575,-0.407,-3.1145,1.2137,0.458
2880.374,0.5216,9.3512,3.2112,5.32,-2.03,1.89,0.7801,-9.5521,-1.986,1.4,-1.54,-1.12,-0.0407,-0.1341,8.4731,-1.4504,-0.6031,-0.3893,-9.3254,-0.0958,-0.4836,-3.1908,1.0687,0.4504
2968.067,0.5264,9.3751,3.2447,3.78,-1.75,1.33,0.7322,-9.5282,-2.0722,1.26,-1.47,-1.12,0.0455,-0.1437,8.6479,-1.2901,-0.4733,-0.5573,-9.3206,-0.1077,-0.4645,-3.2214,1.1374,0.4962
3027.91,0.5216,9.3703,3.2207,1.54,-1.54,0.98,0.7513,-9.533,-2.0004,1.12,-1.75,-1.05,0.0048,-0.1676,8.5162,-1.2214,-0.6565,-0.4046,-9.3015,-0.0886,-0.4812,-3.4733,1.0382,0.2748
3118.032,0.5168,9.4277,3.216,1.4,-1.54,0.91,0.7753,-9.533,-2.0004,0.63,-1.61,-0.98,0.0527,-0.1365,8.4946,-1.4275,-0.5344,-0.5878,-9.268,-0.0694,-0.4262,-3.1985,1.3969,0.313
3208.751,0.5168,9.4181,3.2447,0.56,-1.19,1.05,0.7848,-9.5378,-1.9621,1.19,-1.61,-1.05,-0.012,-0.1006,8.5736,-1.4656,-0.6489,-0.458,-9.3039,-0.1245,-0.407,-3.1527,1.2366,0.4733
3268.223,0.4929,9.4134,3.2351,0.84,-1.4,1.05,0.7848,-9.533,-2.0148,1.12,-1.68,-1.05,-0.0263,-0.1484,8.5114,-1.313,-0.6183,-0.6489,-9.2703,-0.1604,-0.5339,-3.2901,1.0153,0.3435
3356.537,0.5025,9.4277,3.2399,0.7,-1.4,0.84,0.7609,-9.5378,-1.9525,0.56,-1.75,-1.05,-0.0455,-0.103,8.5425,-1.3664,-0.5649,-0.4275,-9.3446,-0.1389,-0.4764,-3.2672,1.0916,0.3893
3419.288,0.5121,9.3847,3.2255,0.84,-1.26,1.05,0.7753,-9.5186,-1.986,1.33,-1.61,-1.05,0.0646,-0.1006,8.4252,-1.2824,-0.6641,-0.5496,-9.2033,-0.1676,-0.4046,-3.3664,1.2595,0.3435
