timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,MPU_Accel_X,MPU_Accel_Y,MPU_Accel_Z,MPU_Gyro_X,MPU_Gyro_Y,MPU_Gyro_Z
2578.92,-0.268,9.4229,-3.1346,0.21,-1.33,1.12,0.1723,7.8676,-5.7093,0.98,-1.82,-1.05,-0.0096,-0.0934,8.4515,-1.4122,-0.4733,-0.771
2668.76,-0.268,9.3942,-3.1298,0.14,-1.26,1.19,0.2058,7.8676,-5.7188,1.05,-1.61,-1.19,-0.0096,-0.067,8.4827,-1.4885,-0.6718,-0.5115
2729.933,-0.2441,9.4181,-3.1442,0.14,-1.47,1.05,0.1962,7.8628,-5.7284,0.98,-1.68,-1.12,-0.0646,-0.1389,8.5042,-1.2595,-0.313,-0.6107
2820.744,-0.268,9.4325,-3.1394,0.35,-1.19,1.12,0.1771,7.8676,-5.7236,1.05,-1.68,-1.12,-0.0718,-0.0886,8.4635,-1.2901,-0.6107,-0.5267
2912.032,-0.2441,9.4325,-3.1442,0.7,-1.19,0.91,0.201,7.8772,-5.738,1.05,-1.75,-1.05,-0.1556,-0.1676,8.4755,-1.4046,-0.542,-0.3588
2969.342,-0.2489,9.4421,-3.1155,0.42,-1.12,1.05,0.1866,7.882,-5.7332,1.12,-1.68,-1.12,-0.0072,-0.0527,8.4587,-1.2366,-0.6794,-0.7557
3059.419,-0.2489,9.4277,-3.1202,0.42,-1.33,0.98,0.1866,7.8628,-5.7284,1.05,-1.75,-1.19,-0.0383,-0.0646,8.6191,-1.2748,-0.4122,-0.5649
3119.813,-0.2584,9.4181,-3.1537,0.28,-1.26,1.05,0.1866,7.882,-5.7093,1.05,-1.68,-1.12,-0.146,-0.0503,8.5497,-1.4046,-0.6641,-0.5496
3208.792,-0.268,9.4086,-3.149,0.28,-1.26,0.98,0.1914,7.8676,-5.7236,0.98,-1.61,-1.12,-0.0383,-0.1413,8.6167,-1.542,-0.4504,-0.542
3300.233,-0.2824,9.4469,-3.1298,0.28,-1.26,1.05,0.1962,7.8772,-5.7093,1.05,-1.68,-1.05,-0.1341,-0.2227,8.4611,-1.3282,-0.5802,-0.4733
3361.602,-0.2536,9.4516,-3.1442,0.21,-1.26,1.05,0.1771,7.8915,-5.7284,1.05,-1.68,-1.12,-0.0455,-0.091,8.5521,-1.3817,-0.5115,-0.542
3450.289,-0.2489,9.4181,-3.1537,0.42,-1.12,1.19,0.1962,7.8772,-5.7188,1.12,-1.75,-1.19,-0.091,-0.1389,8.5305,-1.5267,-0.542,-0.6107
3540.088,-0.2632,9.4373,-3.1442,0.35,-1.33,1.12,0.1819,7.8676,-5.7141,1.05,-1.61,-1.12,-0.012,-0.0934,8.5449,-1.4504,-0.7405,-0.5649
3600.76,-0.2536,9.4181,-3.1585,0.49,-1.19,1.05,0.1723,7.8772,-5.7188,1.05,-1.61,-1.19,-0.0479,-0.1269,8.5569,-1.3969,-0.5267,-0.5725
3690.544,-0.2489,9.4277,-3.125,0.77,-1.19,1.12,0.1914,7.8724,-5.7332,1.12,-1.68,-1.19,-0.079,-0.1293,8.4563,-1.3893,-0.3664,-0.7557
3778.723,-0.2489,9.4229,-3.1346,0.35,-1.33,0.98,0.1962,7.882,-5.7428,1.12,-1.75,-1.12,-0.0144,-0.1293,8.5162,-1.5802,-0.542,-0.5191
3838.687,-0.2536,9.4134,-3.1298,-0.07,-1.19,0.91,0.1962,7.8485,-5.7236,1.05,-1.68,-1.12,-0.0359,-0.1101,8.497,-1.374,-0.5267,-0.7328
3928.347,-0.2584,9.4277,-3.1394,0.49,-1.26,1.05,0.1819,7.8676,-5.7188,1.05,-1.68,-1.05,-0.0551,-0.1173,8.4635,-1.3282,-0.5344,-0.6183
3989.296,-0.2584,9.4325,-3.1442,0.21,-1.19,1.05,0.1914,7.8676,-5.7428,1.05,-1.54,-1.12,-0.0335,-0.1867,8.4491,-1.3969,-0.7176,-0.5496
4080.886,-0.2393,9.4277,-3.1059,0.63,-1.26,1.12,0.1866,7.8724,-5.7284,0.98,-1.68,-1.19,-0.0742,-0.1437,8.4348,-1.4122,-0.5038,-0.5802
4169.044,-0.2441,9.4373,-3.1394,0.63,-1.19,1.26,0.1723,7.8867,-5.7523,1.12,-1.68,-1.12,-0.0551,-0.1149,8.4707,-1.3206,-0.5344,-0.9008
4229.122,-0.2393,9.3847,-3.1059,-0.42,-1.12,1.19,0.1866,7.8724,-5.7332,0.98,-1.68,-1.12,-0.0694,-0.103,8.4491,-1.2443,-0.4275,-0.6031
