timestamp,right_hand_Accel_X,right_hand_Accel_Y,right_hand_Accel_Z,right_hand_Gyro_X,right_hand_Gyro_Y,right_hand_Gyro_Z,left_hand_Accel_X,left_hand_Accel_Y,left_hand_Accel_Z,left_hand_Gyro_X,left_hand_Gyro_Y,left_hand_Gyro_Z,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
2907.544,0.4307,9.4134,3.326,-0.14,-1.26,0.91,0.7178,-9.5761,-1.7133,0.63,-1.75,-1.26,0.1317,-0.1221,8.5425,-1.3893,-0.6412,-0.5038,-5.3582,-0.4357,-7.8195,-3.1756,1.0382,0.4122
2970.85,0.4594,9.4086,3.2925,0.14,-1.26,0.98,0.7226,-9.6048,-1.6989,1.26,-1.89,-0.91,0.0575,-0.1173,8.4803,-1.2061,-0.6412,-0.7634,-5.3367,-0.4908,-7.7596,-3.1374,1.2519,0.3588
3057.543,0.4451,9.3942,3.3165,0.42,-1.26,1.05,0.7226,-9.6,-1.742,1.26,-1.75,-0.98,0.0742,-0.1293,8.4443,-1.3206,-0.5725,-0.626,-5.3893,-0.4812,-7.8003,-3.4275,1.1374,0.5267
3148.247,0.4451,9.3942,3.2973,0.84,-1.4,1.05,0.7609,-9.5809,-1.7707,0.91,-1.75,-0.98,0.0,-0.1317,8.5162,-1.229,-0.4122,-0.5573,-5.4181,-0.5052,-7.7764,-3.4351,0.8855,0.4733
3208.193,0.4164,9.399,3.2973,0.63,-1.4,0.84,0.7274,-9.6048,-1.742,0.63,-1.68,-1.12,-0.0527,-0.1269,8.5952,-1.2901,-0.6183,-0.5649,-5.3846,-0.5195,-7.774,-3.2443,1.3206,0.5267
3298.246,0.4451,9.3847,3.3069,0.42,-1.47,0.91,0.7418,-9.5665,-1.742,0.56,-1.61,-1.05,-0.0503,-0.1413,8.5569,-1.4122,-0.6489,-0.4809,-5.4277,-0.4788,-7.8243,-3.1985,1.1908,0.5573
3387.694,0.4499,9.3942,3.3117,0.56,-1.26,1.05,0.7226,-9.5713,-1.6941,0.91,-1.75,-1.05,0.0742,-0.0886,8.509,-1.5878,-0.3969,-0.5038,-5.4277,-0.4525,-7.8578,-3.2595,1.2366,0.4733
3448.182,0.4451,9.3894,3.3165,0.91,-1.4,0.98,0.7131,-9.5856,-1.7324,1.4,-1.96,-0.91,0.0646,-0.1149,8.5258,-1.3282,-0.6412,-0.542,-5.4181,-0.4836,-7.8314,-3.4046,0.9924,0.4504
3538.082,0.4642,9.3942,3.2973,1.26,-1.4,0.98,0.7226,-9.5809,-1.7707,1.05,-1.82,-0.91,0.0359,-0.1413,8.497,-1.3893,-0.5802,-0.4733,-5.4085,-0.4836,-7.7476,-3.0382,1.2977,0.4656
3599.931,0.4164,9.4181,3.3117,0.56,-1.33,1.05,0.737,-9.5904,-1.7372,0.42,-1.61,-1.05,0.0383,-0.1053,8.6072,-1.4122,-0.5496,-0.6336,-5.3534,-0.5028,-7.8889,-3.3359,1.3282,0.3511
3689.088,0.4499,9.4086,3.3356,0.42,-1.26,1.19,0.7466,-9.5761,-1.7372,0.21,-1.61,-1.12,-0.0024,-0.0718,8.4731,-1.4427,-0.6794,-0.5649,-5.4277,-0.486,-7.8386,-3.5725,1.0305,0.3435
3780.295,0.4594,9.3799,3.3404,0.28,-1.19,1.05,0.7513,-9.6,-1.7324,0.98,-1.82,-1.05,-0.0048,-0.0886,8.521,-1.4885,-0.4885,-0.5954,-5.387,-0.4525,-7.9464,-3.2672,0.855,0.4351
3839.815,0.4259,9.4038,3.3069,0.56,-1.33,0.91,0.7226,-9.6,-1.7133,1.12,-1.75,-0.98,-0.0215,-0.146,8.4539,-1.2443,-0.6718,-0.5115,-5.4133,-0.431,-7.8913,-3.084,1.3511,0.3664
3928.775,0.4499,9.4134,3.3165,1.12,-1.47,1.05,0.7131,-9.5856,-1.7563,1.05,-1.75,-0.98,-0.0383,-0.1077,8.5329,-1.2901,-0.6336,-0.6718,-5.3774,-0.4908,-7.8985,-3.4962,1.2061,0.4504
4017.965,0.4403,9.4181,3.2925,0.91,-1.33,1.05,0.7226,-9.5856,-1.7659,1.05,-1.75,-1.05,-0.0383,-0.1149,8.5688,-1.1985,-0.4885,-0.542,-5.3415,-0.4932,-7.9033,-3.7023,0.2366,0.6565
4078.616,0.4259,9.399,3.2973,0.49,-1.26,0.98,0.7609,-9.6048,-1.7372,0.21,-1.54,-1.12,0.0239,-0.1221,8.5377,-1.3511,-0.6412,-0.5038,-5.3463,-0.4741,-7.8578,-3.1985,1.5115,0.542
4167.748,0.4355,9.3942,3.2925,0.07,-1.33,1.05,0.737,-9.5856,-1.7372,0.91,-1.54,-1.19,0.0,-0.1628,8.5784,-1.5267,-0.3282,-0.4427,-5.4037,-0.486,-7.8913,-3.2977,1.1985,0.4122
4257.726,0.4546,9.3799,3.2925,0.49,-1.26,1.05,0.7274,-9.5809,-1.7276,1.19,-1.75,-0.98,0.0144,-0.1006,8.5377,-1.313,-0.3053,-0.5649,-5.3917,-0.4597,-7.8266,-3.229,1.2214,0.458
4317.656,0.4546,9.3799,3.3212,0.98,-1.33,1.12,0.7322,-9.5952,-1.7563,1.26,-1.89,-0.98,-0.0024,-0.1413,8.5688,-1.4122,-0.5191,-0.542,-5.3917,-0.4525,-7.853,-3.2595,1.2366,0.2595
4407.427,0.4594,9.399,3.3069,1.05,-1.33,1.12,0.7274,-9.5761,-1.7372,0.63,-1.75,-1.05,0.0622,-0.1053,8.3965,-1.0153,-0.4504,-0.4962,-5.4037,-0.4453,-7.8123,-3.2824,1.084,0.4351
4468.246,0.4307,9.4134,3.3021,1.05,-1.54,1.12,0.7274,-9.5665,-1.742,0.63,-1.68,-1.12,-0.0192,-0.1652,8.5641,-1.2901,-0.6336,-0.6336,-5.4061,-0.4453,-7.8386,-3.3282,1.0,0.4351
4557.629,0.4211,9.3894,3.2925,0.49,-1.33,0.91,0.7466,-9.5569,-1.7276,0.63,-1.54,-1.12,0.0048,-0.1365,8.5617,-1.4198,-0.4198,-0.7481,-5.3175,-0.4669,-7.8697,-3.1069,1.3053,0.4275
4647.793,0.4594,9.399,3.3069,1.26,-1.47,1.26,0.7466,-9.5809,-1.7276,1.05,-1.68,-1.05,0.0335,-0.1269,8.5784,-1.3282,-0.458,-0.5115,-5.375,-0.4788,-7.7572,-3.3588,1.1679,0.374
4708.535,0.4403,9.4181,3.3117,1.47,-1.4,0.98,0.7466,-9.6,-1.7276,1.19,-1.89,-0.91,-0.0144,-0.1317,8.5904,-1.1374,-0.6031,-0.4733,-5.3822,-0.4501,-7.8195,-3.1603,1.0382,0.2977
4887.547,0.4451,9.4038,3.2925,1.05,-1.4,1.26,0.7466,-9.5809,-1.7276,0.49,-1.68,-1.05,-0.0024,-0.1844,8.5688,-1.229,-0.4809,-0.542,-5.3654,-0.4788,-7.8266,-3.3664,1.084,0.2443
5037.371,0.4594,9.399,3.2877,0.56,-1.26,0.98,0.7322,-9.5856,-1.7085,1.05,-1.82,-0.91,-0.0239,-0.1532,8.497,-1.3893,-0.4733,-0.6183,-5.4253,-0.4693,-7.7189,-3.2748,1.1527,0.5573
