timestamp,right_leg_Accel_X,right_leg_Accel_Y,right_leg_Accel_Z,right_leg_Gyro_X,right_leg_Gyro_Y,right_leg_Gyro_Z,left_leg_Accel_X,left_leg_Accel_Y,left_leg_Accel_Z,left_leg_Gyro_X,left_leg_Gyro_Y,left_leg_Gyro_Z
59.102,4.8674,-0.2514,7.5896,-1.3969,-0.3893,-0.7328,10.4052,-0.3807,0.1101,-3.2366,1.2977,0.3206
148.034,4.8722,-0.2849,7.5681,-1.2977,-0.7634,-0.6641,10.2807,-0.3065,0.1413,-3.3664,1.4351,0.4885
236.558,4.9177,-0.1604,7.5657,-1.3435,-0.5649,-0.3664,10.331,-0.3543,0.1508,-3.3282,0.8931,0.4504
327.245,4.9081,-0.2658,7.4962,-1.3969,-0.6336,-0.5954,10.3214,-0.3472,0.1053,-3.2519,1.2748,0.3893
417.117,4.9321,-0.2394,7.604,-1.5802,-0.5191,-0.4962,10.3046,-0.3879,0.2466,-3.3053,1.084,0.5725
507.24,4.9129,-0.2514,7.5346,-1.2901,-0.855,-0.5496,10.3214,-0.3424,0.146,-3.374,1.1832,0.4122
597.843,4.9033,-0.2155,7.5657,-1.3511,-0.6718,-0.4122,10.3238,-0.3184,0.1724,-3.3053,1.0382,0.4198
686.947,4.9153,-0.2586,7.5776,-1.3588,-0.4962,-0.6107,10.3166,-0.316,0.2394,-3.3053,1.2137,0.4885
807.364,4.8937,-0.2562,7.5417,-1.5191,-0.5725,-0.3282,10.2855,-0.3448,0.1604,-3.4046,1.2214,0.4122
897.527,4.9249,-0.2083,7.5226,-1.2595,-0.542,-0.374,10.3286,-0.3112,0.2059,-3.2824,1.1679,0.6107
986.965,4.9249,-0.2203,7.4795,-1.2595,-0.5038,-0.6031,10.3214,-0.2753,0.1125,-3.313,1.2366,0.3893
1077.071,4.9344,-0.2801,7.4747,-1.2901,-0.5496,-0.5191,10.3382,-0.2801,0.1245,-3.374,1.0687,0.1832
1167.759,4.9584,-0.2873,7.5417,-1.3511,-0.6107,-0.6183,10.2615,-0.3567,0.1867,-3.3511,1.1832,0.374
1257.489,4.9081,-0.2011,7.5776,-1.3893,-0.4962,-0.5191,10.3286,-0.3687,0.0886,-3.2519,1.145,0.5115
